tx	gene_id	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUST00000104056	ENSMUST00000104056	ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000192649	ENSMUST00000192649	ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000181554	ENSMUST00000181554	ENSMUSG00000097797	19	25	15	38	25	30	40	14	31	12	11	20	20	19	17
ENSMUST00000193106	ENSMUST00000193106	ENSMUSG00000097797	1	1	2.666	3	3.619	4	0	0	0	2	0	1	0	1	0
ENSMUST00000193732	ENSMUST00000193732	ENSMUSG00000097797	0	4	5.334	1.064	2.381	2	0	4	2	1	1	4	1.097	3	1
ENSMUST00000193428	ENSMUST00000193428	ENSMUSG00000097797	40	42	50	50.936	47	42	49	51	36	25	33	42	33.903	40	42
ENSMUST00000193998	ENSMUST00000193998	ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000194886	ENSMUST00000194886	ENSMUSG00000103067	136	351	183	227	143	163	223	149	179	160	91	139	133	174	165
ENSMUST00000195081	ENSMUST00000195081	ENSMUSG00000102320	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000194219	ENSMUST00000194219	ENSMUSG00000104226	3	3	4	4	1	2	0	0	2	0	0	0	0	1	2
ENSMUST00000194305	ENSMUST00000194305	ENSMUSG00000103903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000194872	ENSMUST00000194872	ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000132064	ENSMUST00000132064	ENSMUSG00000025909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000191683	ENSMUST00000191683	ENSMUSG00000025909	3.325	0	0	0	2.202	0	0	0	0	37.182	0	0	15.66	0	8.129
ENSMUST00000140295	ENSMUST00000140295	ENSMUSG00000025909	0	0	0	15.008	0	6.642	6.404	0	13.763	0	0	1.544	0	3.122	0
ENSMUST00000140302	ENSMUST00000140302	ENSMUSG00000025909	0	0	0	9.745	2.798	0	0	0	7.059	2.814	6	0	11.483	7.746	0
ENSMUST00000115484	ENSMUST00000115484	ENSMUSG00000025909	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUST00000135046	ENSMUST00000135046	ENSMUSG00000025909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000115488	ENSMUST00000115488	ENSMUSG00000025909	7.021	0	0	0	0	0	0	0	0	0	0	0	0	3.78	0
ENSMUST00000192338	ENSMUST00000192338	ENSMUSG00000102647	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0
ENSMUST00000140995	ENSMUST00000140995	ENSMUSG00000086235	0	0	0	0	0	1.073	0	0	0	0	0	0	0	0	0
ENSMUST00000194602	ENSMUST00000194602	ENSMUSG00000102253	1	0	0	2	0	0	2	0	1	4	1	0	3	1	0
ENSMUST00020182074	ENSMUST00020182074	ENSMUSG00002074990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000193281	ENSMUST00000193281	ENSMUSG00000103884	0	2	1	0	0	0	1	1	1	1	0	1	0	0	0
ENSMUST00000144593	ENSMUST00000144593	ENSMUSG00000025909	2.103	6.775	0	1.508	0	4.358	0	1	13.346	11.32	0	0	1.722	7.752	2.871
