gene_id	gene_name	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUSG00000106578	Mir7217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106579	Gm42771	0.206503	0	0.176536	0.272392	0.300324	0.652197	0.032975	0.187531	1.675697	0.509325	0.637072	0.272094	1.493201	0.702895	0.403341
ENSMUSG00000106580	Mir7231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106581	Mir7042	3.537881	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106582	Obox4-ps24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106583	4930447N08Rik	0.478958	0.422935	0.227056	0.610936	0.577408	0.223256	0.200943	0.458907	0.191436	0.093813	0.426655	0.294549	0.104092	0.473034	0.326601
ENSMUSG00000106584	4930502C17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106585	Gm25053	0	1.075743	1.14334	0	0	0	1.193676	1.158795	0	2.880128	0	0.921208	1.590779	0	0
ENSMUSG00000106586	1700013M08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106588	Gm17590	0	0	0.023912	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106589	4931419H13Rik	0.032909	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106590	Gm42879	0.116946	0	0.12493	0.160458	0.226491	0.157431	0.012451	0.03748	0.107188	0.075916	0.068738	0.115558	0.219875	0.152713	0.120899
ENSMUSG00000106592	Gm43070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106593	Gm7048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106594	4930432H08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106596	Gm42822	0.663392	1.067196	1.011604	0.834612	0.697732	0.927444	0.785716	0.80643	2.096103	0.729984	0.852439	0.592615	1.244713	0.950827	0.765722
ENSMUSG00000106597	Mir7021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106598	Gm43532	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006119	0
ENSMUSG00000106599	Ighv1-73	0	0	0	0	0	0.908945	0	0.265656	0	0	0	0	0	0	0
ENSMUSG00000106600	Mir6915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106601	Ighv1-70	0	0	0	0	0	0	0	0	0	0	0	0.103182	0.182323	0	0
ENSMUSG00000106602	4930405L22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106603	Gm43509	0.142514	0.290088	0.063266	0.260275	0.358875	0.316717	0.189051	0.052707	0.658484	0.384215	0.115946	0.065003	0.399513	0.220806	0.238073
ENSMUSG00000106604	Gm42535	0	0	0	0	0	0	0.020679	0	0	0	0	0	0	0	0
ENSMUSG00000106606	Gm43217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106607	Gm43178	0.566631	0.845977	0.878402	0.870291	0.990048	1.096871	1.588381	1.047266	1.518907	0.586159	1.183399	0.613403	0.879637	0.897507	0.742476
ENSMUSG00000106609	Gm43181	0.097725	0.455647	0.147616	0.066313	0.045591	0	0.387985	0.080534	0.032912	0.097885	0.110796	0.062074	0	0.035163	0
ENSMUSG00000106610	Gm43103	0	0	0	0	0	0	0	0.040223	0	0	0	0	0	0	0
ENSMUSG00000106612	Gm43750	0.011438	0.040356	0.011	0.021726	0.037429	0.063958	0.032876	0.032994	0.026946	0.053452	0.030245	0.016955	0.089323	0.047999	0.070964
ENSMUSG00000106613	Gm42652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106614	Gm43746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106615	Gm8968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106616	Obox4-ps25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106617	Gm36266	1.142706	1.274864	1.097759	1.261553	1.241004	2.631182	1.70746	1.55081	3.013184	1.237463	1.445453	1.269981	1.968841	1.510198	1.354252
ENSMUSG00000106619	Gm9353	0	0.160628	0.115108	0	0.063412	0	0.116361	0.699745	0.216532	0.283785	0.322313	0.089348	0.157632	0	0.310217
ENSMUSG00000106620	Trav7-5	0	0	0	0.145246	0	0	0	0	0	0.355573	0	0.110948	0	0	0.152114
ENSMUSG00000106621	Gm42752	0	0.02494	0	0	0.060829	0	0	0	0	0	0	0	0	0.071332	0
ENSMUSG00000106622	Gm5554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106623	Gm43335	0.008561	0	0	0	0	0.007978	0	0	0.010076	0	0	0	0	0	0
ENSMUSG00000106624	Gm8853	0	0	0	0	0	0.04207	0	0	0	0.026394	0	0	0	0	0.023297
ENSMUSG00000106625	Gm43344	0	0	0	0	0	0	0.023986	0	0.059126	0	0	0	0	0	0.025801
ENSMUSG00000106627	Gm21680	0	0	0	0	0	0	0	0	0	0.01107	0	0	0	0	0
ENSMUSG00000106628	Gm43558	0	0	0	0	0	0	0	0	0	0	0	0	0.502394	0.330974	0
ENSMUSG00000106629	Gm40155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041894
ENSMUSG00000106630	Igkv2-116	0.133053	0.234859	0.12492	0	0	0	0.128202	0	0	0	0	0	0.172816	0	0
ENSMUSG00000106631	Gm42669	0.021939	0.06262	0.055604	0.044827	0.118499	0.038349	0.126855	0	0.015052	0.052376	0.126529	0.057334	0.048462	0.02311	0.078765
ENSMUSG00000106632	Gm33466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106633	Gm43431	0.151469	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106634	Gm43042	2.042708	5.065299	6.180097	4.095964	1.363297	1.244211	1.524945	0.386562	2.409223	3.701255	0.38308	0.560133	1.271403	0.702407	1.495799
ENSMUSG00000106635	Gm43098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106636	Gm43813	0.505884	0.739109	0.779433	0.890045	0.728365	1.009543	1.108607	1.024321	1.724494	0.733891	1.109807	0.674414	0.797941	0.749893	0.830402
ENSMUSG00000106637	Gm42455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106639	Gm43121	0.046679	0.041183	0	0.022195	0	0	0	0.02243	0	0.054594	0	0.017286	0	0.01962	0
ENSMUSG00000106640	Gm20940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106641	Gm43534	0	0.008738	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106642	Mir465d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106643	Gm43422	0.322954	0.247408	0.11012	0.336042	0.222084	0.426208	0.240001	0.062126	1.429746	0.612702	0.416037	0.317906	0.599763	0.405484	0.224127
ENSMUSG00000106644	Gm40331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106645	Gm42643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106646	Gm42483	0.219427	0.387134	0.243223	0.272679	0.274948	0.723638	0.647186	0.324517	1.095154	0.710262	0.580752	0.525249	0.703138	0.411125	0.418536
ENSMUSG00000106647	Gm42523	0	0.043385	0.037858	0	0	0.018336	0.018848	0	0	0	0	0	0	0.008255	0.010175
